iShares Core S&P 500 ETF
Fund Holdings as of,"22/May/2026"
Inception Date,"15/May/2000"
Shares Outstanding,"1’110’650’000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"KLAC","KLA CORP","Information Technology","Equity","3’205’005’745.50","0.39","3’205’005’745.50","1’697’225.00","1’888.38","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","3’131’539’397.19","0.38","3’131’539’397.19","15’577’473.00","201.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","3’129’338’367.68","0.38","3’129’338’367.68","6’046’096.00","517.58","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","3’076’434’331.03","0.37","3’076’434’331.03","17’380’003.00","177.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3’072’223’235.44","0.37","3’072’223’235.44","12’102’991.00","253.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3’059’284’741.60","0.37","3’059’284’741.60","40’042’994.00","76.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","2’830’366’647.78","0.34","2’830’366’647.78","22’626’642.00","125.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","2’825’961’426.25","0.34","2’825’961’426.25","1’911’125.00","1’478.69","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","2’726’445’673.62","0.33","2’726’445’673.62","10’462’989.00","260.58","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2’664’397’582.56","0.32","2’664’397’582.56","17’695’408.00","150.57","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2’639’996’933.30","0.32","2’639’996’933.30","54’601’798.00","48.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2’602’811’952.27","0.31","2’602’811’952.27","9’221’001.00","282.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","2’512’164’210.78","0.30","2’512’164’210.78","6’326’754.00","397.07","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","2’387’811’052.55","0.29","2’387’811’052.55","26’965’681.00","88.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","2’365’677’299.70","0.28","2’365’677’299.70","6’972’229.00","339.30","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2’362’578’156.00","0.28","2’362’578’156.00","22’937’652.00","103.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","2’294’811’424.32","0.28","2’294’811’424.32","2’823’584.00","812.73","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","2’289’654’961.56","0.28","2’289’654’961.56","90’643’506.00","25.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","2’275’657’339.48","0.27","2’275’657’339.48","14’378’324.00","158.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","2’227’136’408.88","0.27","2’227’136’408.88","10’168’644.00","219.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","2’184’660’920.09","0.26","2’184’660’920.09","12’132’287.00","180.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2’180’722’164.04","0.26","2’180’722’164.04","4’864’643.00","448.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","2’165’635’612.84","0.26","2’165’635’612.84","3’264’154.00","663.46","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2’162’023’756.34","0.26","2’162’023’756.34","6’934’453.00","311.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","2’158’401’229.04","0.26","2’158’401’229.04","16’064’314.00","134.36","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","2’125’930’602.12","0.26","2’125’930’602.12","4’389’879.00","484.28","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2’101’857’979.92","0.25","2’101’857’979.92","15’915’932.00","132.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","2’059’429’311.39","0.25","2’059’429’311.39","13’370’313.00","154.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","2’042’808’950.12","0.25","2’042’808’950.12","7’683’199.00","265.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","2’014’471’420.00","0.24","2’014’471’420.00","4’598’200.00","438.10","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","2’004’634’396.00","0.24","2’004’634’396.00","1’868’252.00","1’073.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","1’968’110’107.80","0.24","1’968’110’107.80","5’029’028.00","391.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1’968’030’118.71","0.24","1’968’030’118.71","22’514’931.00","87.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","1’961’642’911.80","0.24","1’961’642’911.80","10’108’956.00","194.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","1’952’985’270.96","0.24","1’952’985’270.96","9’034’488.00","216.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","1’949’703’799.50","0.23","1’949’703’799.50","21’627’330.00","90.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","1’913’893’330.86","0.23","1’913’893’330.86","26’648’473.00","71.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1’910’913’596.20","0.23","1’910’913’596.20","15’863’470.00","120.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1’906’722’050.80","0.23","1’906’722’050.80","73’618’612.00","25.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1’873’629’351.44","0.23","1’873’629’351.44","8’220’557.00","227.92","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1’756’048’606.60","0.21","1’756’048’606.60","12’035’974.00","145.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","1’727’232’380.60","0.21","1’727’232’380.60","3’264’164.00","529.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","1’690’166’470.32","0.20","1’690’166’470.32","3’508’899.00","481.68","United States","NASDAQ","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","1’680’519’367.20","0.20","1’680’519’367.20","10’434’120.00","161.06","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1’654’581’729.60","0.20","1’654’581’729.60","3’962’121.00","417.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","1’622’003’033.56","0.20","1’622’003’033.56","4’953’286.00","327.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1’606’251’528.60","0.19","1’606’251’528.60","21’735’474.00","73.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1’567’859’415.30","0.19","1’567’859’415.30","26’368’305.00","59.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1’561’797’294.80","0.19","1’561’797’294.80","7’263’160.00","215.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","1’544’189’101.97","0.19","1’544’189’101.97","4’709’473.00","327.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","1’536’237’194.02","0.18","1’536’237’194.02","16’472’627.00","93.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1’521’043’868.82","0.18","1’521’043’868.82","14’751’662.00","103.11","United States","NASDAQ","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1’520’918’970.48","0.18","1’520’918’970.48","14’129’682.00","107.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1’519’936’016.53","0.18","1’519’936’016.53","8’093’807.00","187.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","1’514’045’478.20","0.18","1’514’045’478.20","7’588’820.00","199.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","1’429’036’340.40","0.17","1’429’036’340.40","3’288’770.00","434.52","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1’428’002’929.12","0.17","1’428’002’929.12","7’966’988.00","179.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1’416’864’925.36","0.17","1’416’864’925.36","1’634’291.00","866.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","1’411’359’016.96","0.17","1’411’359’016.96","4’459’552.00","316.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1’401’129’888.00","0.17","1’401’129’888.00","8’146’104.00","172.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1’397’927’053.28","0.17","1’397’927’053.28","2’621’572.00","533.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","1’396’783’226.88","0.17","1’396’783’226.88","1’930’752.00","723.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","1’383’213’689.41","0.17","1’383’213’689.41","13’543’657.00","102.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","1’373’679’683.67","0.17","1’373’679’683.67","1’272’173.00","1’079.79","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","1’359’743’550.64","0.16","1’359’743’550.64","4’668’968.00","291.23","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1’348’012’681.55","0.16","1’348’012’681.55","14’257’141.00","94.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","1’331’846’999.70","0.16","1’331’846’999.70","5’191’374.00","256.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","1’316’707’868.07","0.16","1’316’707’868.07","3’524’473.00","373.59","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1’304’721’014.40","0.16","1’304’721’014.40","16’599’504.00","78.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1’300’945’414.88","0.16","1’300’945’414.88","5’315’188.00","244.76","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","1’299’896’422.80","0.16","1’299’896’422.80","2’477’220.00","524.74","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1’292’529’056.82","0.16","1’292’529’056.82","2’865’791.00","451.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","1’265’391’839.88","0.15","1’265’391’839.88","10’069’164.00","125.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","1’240’796’516.96","0.15","1’240’796’516.96","15’812’368.00","78.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","1’240’008’369.05","0.15","1’240’008’369.05","8’911’307.00","139.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","1’214’937’763.20","0.15","1’214’937’763.20","1’585’915.00","766.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1’186’554’511.73","0.14","1’186’554’511.73","4’034’939.00","294.07","United States","NASDAQ","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","1’174’633’410.99","0.14","1’174’633’410.99","6’134’817.00","191.47","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1’174’639’715.78","0.14","1’174’639’715.78","5’213’438.00","225.31","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1’171’092’202.27","0.14","1’171’092’202.27","46’462’694.00","25.20","United States","NASDAQ","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","1’153’566’454.88","0.14","1’153’566’454.88","18’608’912.00","61.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1’152’761’096.76","0.14","1’152’761’096.76","3’603’054.00","319.94","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","1’148’838’428.71","0.14","1’148’838’428.71","9’694’021.00","118.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","1’146’512’830.98","0.14","1’146’512’830.98","5’229’726.00","219.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","1’144’153’031.35","0.14","1’144’153’031.35","1’788’997.00","639.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","1’135’872’227.84","0.14","1’135’872’227.84","3’847’936.00","295.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1’127’908’770.52","0.14","1’127’908’770.52","2’857’708.00","394.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","1’126’731’739.54","0.14","1’126’731’739.54","3’285’986.00","342.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","1’124’802’330.27","0.14","1’124’802’330.27","7’353’091.00","152.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","1’114’415’783.65","0.13","1’114’415’783.65","6’061’549.00","183.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","1’109’502’480.42","0.13","1’109’502’480.42","19’202’189.00","57.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SLB NV","Energy","Equity","1’109’031’474.24","0.13","1’109’031’474.24","19’361’583.00","57.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","1’104’075’360.00","0.13","1’104’075’360.00","2’800’800.00","394.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","1’103’552’005.36","0.13","1’103’552’005.36","20’126’792.00","54.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","1’096’504’798.68","0.13","1’096’504’798.68","7’925’013.00","138.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","1’096’143’924.22","0.13","1’096’143’924.22","8’184’454.00","133.93","United States","NASDAQ","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","1’096’008’664.88","0.13","1’096’008’664.88","24’077’519.00","45.52","United States","NASDAQ","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","1’064’608’083.54","0.13","1’064’608’083.54","1’823’771.00","583.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","1’051’235’099.70","0.13","1’051’235’099.70","2’847’718.00","369.15","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","1’046’930’620.20","0.13","1’046’930’620.20","4’804’638.00","217.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","1’039’591’409.44","0.13","1’039’591’409.44","6’819’676.00","152.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","1’031’276’991.36","0.12","1’031’276’991.36","3’258’688.00","316.47","United States","NASDAQ","USD","1.00","USD","-"
"MRSH","MARSH INC","Financials","Equity","1’028’719’432.25","0.12","1’028’719’432.25","6’268’475.00","164.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","1’025’051’039.04","0.12","1’025’051’039.04","16’597’329.00","61.76","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","1’002’602’547.83","0.12","1’002’602’547.83","630’643.00","1’589.81","United States","NASDAQ","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","1’000’058’473.92","0.12","1’000’058’473.92","10’901’008.00","91.74","United States","NASDAQ","USD","1.00","USD","01/Jan/1970"
"EMR","EMERSON ELECTRIC","Industrials","Equity","992’698’327.60","0.12","992’698’327.60","7’276’780.00","136.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
